task,baseline_acc,exact_acc,accuracy_drop
openbookqa,44.0,28.999999999999996,15.000000000000002
mmlu_astronomy,42.76315789473684,17.763157894736842,25.0
arc_easy,72.93771043771044,24.957912457912457,47.97979797979798
