task,dense_acc,exact_acc,accuracy_drop
openbookqa,17.0,16.400000000000002,0.6000000000000005
mmlu_astronomy,17.763157894736842,25.657894736842106,-7.8947368421052655
arc_easy,25.63131313131313,24.831649831649834,0.7996632996633002
