model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
DeepSeek,layer,EXACT,100,4,4096,2048,1408,64,4519.882678985596,flash_attention_2,3624.87
DeepSeek,layer,Samoyeds,100,4,4096,2048,1408,64,4503.070592880249,flash_attention_2,3638.41
DeepSeek,layer,megablocks,100,4,4096,2048,1408,64,3736.230134963989,flash_attention_2,4385.17
DeepSeek,layer,GEMM,100,4,4096,2048,1408,64,5355.281591415405,flash_attention_2,3059.41
DeepSeek,layer,EXACT,100,8,4096,2048,1408,64,8373.397588729858,flash_attention_2,3913.35
DeepSeek,layer,Samoyeds,100,8,4096,2048,1408,64,8443.876266479492,flash_attention_2,3880.68
DeepSeek,layer,megablocks,100,8,4096,2048,1408,64,7506.099224090576,flash_attention_2,4365.52
DeepSeek,layer,GEMM,100,8,4096,2048,1408,64,9575.982809066772,flash_attention_2,3421.89
DeepSeek,layer,EXACT,100,16,4096,2048,1408,64,16125.402212142944,flash_attention_2,4064.15
DeepSeek,layer,Samoyeds,100,16,4096,2048,1408,64,16234.02738571167,flash_attention_2,4036.95
DeepSeek,layer,megablocks,100,16,4096,2048,1408,64,14896.170616149902,flash_attention_2,4399.52
DeepSeek,layer,GEMM,100,16,4096,2048,1408,64,18230.08394241333,flash_attention_2,3594.94
DeepSeek,layer,EXACT,100,32,4096,2048,1408,64,31517.518758773804,flash_attention_2,4158.7
DeepSeek,layer,Samoyeds,100,32,4096,2048,1408,64,31723.91629219055,flash_attention_2,4131.65
DeepSeek,layer,megablocks,100,32,4096,2048,1408,64,29757.93170928955,flash_attention_2,4404.61
DeepSeek,layer,GEMM,100,32,4096,2048,1408,64,35457.56006240845,flash_attention_2,3696.59
DeepSeek,layer,EXACT,100,64,4096,2048,1408,64,62549.51882362366,flash_attention_2,4190.98
DeepSeek,layer,Samoyeds,100,64,4096,2048,1408,64,62945.23787498474,flash_attention_2,4164.64
DeepSeek,layer,GEMM,100,64,4096,2048,1408,64,70304.2778968811,flash_attention_2,3728.71
Qwen2-MoE,layer,EXACT,100,1,4096,2048,1408,60,2607.6881885528564,flash_attention_2,1570.74
qwen2_moe,layer,Samoyeds,100,1,4096,2048,1408,60,2600.8529663085938,flash_attention_2,1574.87
qwen2_moe,layer,megablocks,100,1,4096,2048,1408,60,1008.9972019195556,flash_attention_2,4059.48
qwen2_moe,layer,GEMM,100,1,4096,2048,1408,60,1915.663719177246,flash_attention_2,2138.16
Qwen2-MoE,layer,EXACT,100,2,4096,2048,1408,60,3987.227916717529,flash_attention_2,2054.56
qwen2_moe,layer,Samoyeds,100,2,4096,2048,1408,60,3849.2062091827393,flash_attention_2,2128.23
qwen2_moe,layer,megablocks,100,2,4096,2048,1408,60,1911.5259647369385,flash_attention_2,4285.58
qwen2_moe,layer,GEMM,100,2,4096,2048,1408,60,2965.2762413024902,flash_attention_2,2762.64
Qwen2-MoE,layer,EXACT,100,4,4096,2048,1408,60,6445.213794708252,flash_attention_2,2542.04
qwen2_moe,layer,Samoyeds,100,4,4096,2048,1408,60,6365.360736846924,flash_attention_2,2573.93
qwen2_moe,layer,megablocks,100,4,4096,2048,1408,60,3739.011287689209,flash_attention_2,4381.91
qwen2_moe,layer,GEMM,100,4,4096,2048,1408,60,5031.042814254761,flash_attention_2,3256.58
Qwen2-MoE,layer,EXACT,100,8,4096,2048,1408,60,11441.011905670166,flash_attention_2,2864.08
qwen2_moe,layer,Samoyeds,100,8,4096,2048,1408,60,11341.777801513672,flash_attention_2,2889.14
qwen2_moe,layer,megablocks,100,8,4096,2048,1408,60,7488.500595092773,flash_attention_2,4375.78
qwen2_moe,layer,GEMM,100,8,4096,2048,1408,60,9235.178709030151,flash_attention_2,3548.17
Qwen2-MoE,layer,EXACT,100,16,4096,2048,1408,60,21285.85624694824,flash_attention_2,3078.85
qwen2_moe,layer,Samoyeds,100,16,4096,2048,1408,60,21353.58762741089,flash_attention_2,3069.09
qwen2_moe,layer,megablocks,100,16,4096,2048,1408,60,14984.994888305664,flash_attention_2,4373.44
qwen2_moe,layer,GEMM,100,16,4096,2048,1408,60,17378.46851348877,flash_attention_2,3771.1
Qwen2-MoE,layer,EXACT,100,32,4096,2048,1408,60,41478.47890853882,flash_attention_2,3160.0
qwen2_moe,layer,Samoyeds,100,32,4096,2048,1408,60,41579.61201667786,flash_attention_2,3152.31
qwen2_moe,layer,megablocks,100,32,4096,2048,1408,60,30065.71626663208,flash_attention_2,4359.52
qwen2_moe,layer,GEMM,100,32,4096,2048,1408,60,34209.57899093628,flash_attention_2,3831.44
Qwen2-MoE,layer,EXACT,100,64,4096,2048,1408,60,83017.56405830383,flash_attention_2,3157.69
qwen2_moe,layer,Samoyeds,100,64,4096,2048,1408,60,83193.80521774292,flash_attention_2,3151.0
qwen2_moe,layer,megablocks,100,64,4096,2048,1408,60,60522.85218238831,flash_attention_2,4331.32
qwen2_moe,layer,GEMM,100,64,4096,2048,1408,60,68949.86009597778,flash_attention_2,3801.95
