model,model_type,kernel_type,iter,batch_size,seq_len,hidden_size,intermediate_size,expert_num,time,atten_mode,tokens_per_sec
DeepSeek,layer,EXACT,100,4,4096,2048,1408,64,3064.0389919281006,flash_attention_2,5347.19
DeepSeek,layer,Samoyeds,100,4,4096,2048,1408,64,3085.436582565308,flash_attention_2,5310.11
DeepSeek,layer,megablocks,100,4,4096,2048,1408,64,2677.8275966644287,flash_attention_2,6118.39
DeepSeek,layer,GEMM,100,4,4096,2048,1408,64,3298.562526702881,flash_attention_2,4967.01
DeepSeek,layer,EXACT,100,8,4096,2048,1408,64,5875.486135482788,flash_attention_2,5577.07
DeepSeek,layer,Samoyeds,100,8,4096,2048,1408,64,5976.439714431763,flash_attention_2,5482.86
DeepSeek,layer,megablocks,100,8,4096,2048,1408,64,5299.17573928833,flash_attention_2,6183.6
DeepSeek,layer,GEMM,100,8,4096,2048,1408,64,6387.650966644287,flash_attention_2,5129.9
DeepSeek,layer,EXACT,100,16,4096,2048,1408,64,11370.763540267944,flash_attention_2,5763.55
DeepSeek,layer,Samoyeds,100,16,4096,2048,1408,64,11663.244485855104,flash_attention_2,5619.02
DeepSeek,layer,megablocks,100,16,4096,2048,1408,64,10425.280570983889,flash_attention_2,6286.26
DeepSeek,layer,GEMM,100,16,4096,2048,1408,64,12606.58574104309,flash_attention_2,5198.55
DeepSeek,layer,EXACT,100,32,4096,2048,1408,64,22350.902795791622,flash_attention_2,5864.28
DeepSeek,layer,Samoyeds,100,32,4096,2048,1408,64,23014.514446258545,flash_attention_2,5695.19
DeepSeek,layer,megablocks,100,32,4096,2048,1408,64,20575.222492218018,flash_attention_2,6370.38
DeepSeek,layer,GEMM,100,32,4096,2048,1408,64,24990.021467208862,flash_attention_2,5244.97
DeepSeek,layer,EXACT,100,64,4096,2048,1408,64,44344.9285030365,flash_attention_2,5911.48
DeepSeek,layer,Samoyeds,100,64,4096,2048,1408,64,45757.68661499024,flash_attention_2,5728.96
DeepSeek,layer,GEMM,100,64,4096,2048,1408,64,49531.88610076904,flash_attention_2,5292.43
qwen2_moe,layer,EXACT,100,1,4096,2048,5632,60,1910.9950065612795,flash_attention_2,2143.39
qwen2_moe,layer,Samoyeds,100,1,4096,2048,5632,60,1801.7678260803225,flash_attention_2,2273.32
qwen2_moe,layer,megablocks,100,1,4096,2048,5632,60,973.8991260528564,flash_attention_2,4205.77
qwen2_moe,layer,GEMM,100,1,4096,2048,5632,60,1594.7628021240234,flash_attention_2,2568.41
qwen2_moe,layer,EXACT,100,2,4096,2048,5632,60,2917.5567626953125,flash_attention_2,2807.83
qwen2_moe,layer,Samoyeds,100,2,4096,2048,5632,60,2921.5636253356934,flash_attention_2,2803.98
qwen2_moe,layer,megablocks,100,2,4096,2048,5632,60,2023.787498474121,flash_attention_2,4047.86
qwen2_moe,layer,GEMM,100,2,4096,2048,5632,60,2790.1179790496826,flash_attention_2,2936.08
qwen2_moe,layer,EXACT,100,4,4096,2048,5632,60,5011.882781982422,flash_attention_2,3269.03
qwen2_moe,layer,Samoyeds,100,4,4096,2048,5632,60,5091.645240783691,flash_attention_2,3217.82
qwen2_moe,layer,megablocks,100,4,4096,2048,5632,60,4384.804248809814,flash_attention_2,3736.54
qwen2_moe,layer,GEMM,100,4,4096,2048,5632,60,5299.517154693604,flash_attention_2,3091.6
qwen2_moe,layer,EXACT,100,8,4096,2048,5632,60,8796.71335220337,flash_attention_2,3725.03
qwen2_moe,layer,Samoyeds,100,8,4096,2048,5632,60,9038.185358047484,flash_attention_2,3625.51
qwen2_moe,layer,megablocks,100,8,4096,2048,5632,60,8735.268592834473,flash_attention_2,3751.23
qwen2_moe,layer,GEMM,100,8,4096,2048,5632,60,10116.01710319519,flash_attention_2,3239.22
qwen2_moe,layer,EXACT,100,16,4096,2048,5632,60,16209.84387397766,flash_attention_2,4042.98
qwen2_moe,layer,Samoyeds,100,16,4096,2048,5632,60,16974.112272262573,flash_attention_2,3860.94
qwen2_moe,layer,megablocks,100,16,4096,2048,5632,60,17211.652994155884,flash_attention_2,3807.65
qwen2_moe,layer,GEMM,100,16,4096,2048,5632,60,20096.017599105835,flash_attention_2,3261.14
qwen2_moe,layer,EXACT,100,32,4096,2048,5632,60,31478.7335395813,flash_attention_2,4163.83
qwen2_moe,layer,Samoyeds,100,32,4096,2048,5632,60,33154.48546409607,flash_attention_2,3953.37
qwen2_moe,layer,GEMM,100,32,4096,2048,5632,60,40196.75374031067,flash_attention_2,3260.76
qwen2_moe,layer,EXACT,100,64,4096,2048,5632,60,61577.98361778259,flash_attention_2,4257.11
qwen2_moe,layer,Samoyeds,100,64,4096,2048,5632,60,65050.333976745605,flash_attention_2,4029.86
qwen2_moe,layer,GEMM,100,64,4096,2048,5632,60,81145.54452896118,flash_attention_2,3230.54
