algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
4,sm_89,256,16384,8192,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.401893,0.551747,1.37287,0
4,sm_89,256,256,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0328772,0.0345462,1.05077,0
4,sm_89,256,512,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0462695,0.0530868,1.14734,0
4,sm_89,256,1024,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0739021,0.0888736,1.20259,0
4,sm_89,256,2048,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.125033,0.165129,1.32068,0
4,sm_89,256,4096,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.225908,0.315248,1.39547,0
4,sm_89,256,8192,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.428468,0.616666,1.43923,0
4,sm_89,256,16384,16384,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.830334,1.37126,1.65146,0
4,sm_89,512,256,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00579024,0.00461693,0.797364,0
4,sm_89,512,512,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00754019,0.00587994,0.779813,0
4,sm_89,512,1024,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00974765,0.00847101,0.869031,0
4,sm_89,512,2048,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0156838,0.0118511,0.755628,0
4,sm_89,512,4096,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0265206,0.0188608,0.711175,0
4,sm_89,512,8192,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0494181,0.0302858,0.612848,0
4,sm_89,512,16384,256,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0926909,0.0509605,0.54979,0
4,sm_89,512,256,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00594518,0.00521229,0.876724,0
4,sm_89,512,512,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00766317,0.00662813,0.864933,0
4,sm_89,512,1024,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00974275,0.00994954,1.02122,0
4,sm_89,512,2048,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0158202,0.017289,1.09284,0
4,sm_89,512,4096,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0277764,0.0323066,1.1631,0
4,sm_89,512,8192,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0496101,0.0492806,0.993359,0
4,sm_89,512,16384,512,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0928243,0.0923739,0.995148,0
4,sm_89,512,256,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00629782,0.0064359,1.02193,0
4,sm_89,512,512,1024,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.00834176,0.0090591,1.08599,0
