algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
1,sm_89,256,16384,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,5.74878,0.791923,0.137755,0
1,sm_89,256,256,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.121033,0.0344439,0.284583,0
1,sm_89,256,512,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.22668,0.0514519,0.22698,0
1,sm_89,256,1024,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.452389,0.107883,0.238474,0
1,sm_89,256,2048,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.941674,0.190817,0.202636,0
1,sm_89,256,4096,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,2.08314,0.335829,0.161213,0
1,sm_89,256,8192,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4.97051,0.89051,0.179159,0
1,sm_89,256,16384,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,11.4776,1.69537,0.147711,0
1,sm_89,512,256,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.00864013,0.00499968,0.578658,0
1,sm_89,512,512,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0125162,0.00578899,0.462519,0
1,sm_89,512,1024,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0202149,0.00925706,0.457932,0
1,sm_89,512,2048,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0356626,0.0130769,0.366683,0
1,sm_89,512,4096,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0713582,0.0215651,0.302208,0
1,sm_89,512,8192,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.148691,0.0328359,0.220833,0
1,sm_89,512,16384,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.31596,0.0508118,0.160817,0
1,sm_89,512,256,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0113389,0.00745843,0.657773,0
1,sm_89,512,512,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0186359,0.0066537,0.357036,0
